Event_type,lat,lon,intensity,year,month,day,hour,dayofweek,is_weekend,cluster
Fire,34.130612,-109.79702,6.922643891475888,2026,1,1,0,3,0,4772
Fire,47.625617,-108.900717,7.701200180857446,2026,1,1,0,3,0,-1
Fire,38.718611,-82.506944,6.741700694652055,2026,1,1,0,3,0,-1
Wildfire,36.1373333,-95.1038333,7.177782416195197,2026,1,1,0,3,0,4872
Wildfire,36.627446,-96.125892,6.54965074223381,2026,1,1,0,3,0,-1
Wildfire,35.71033333,-101.4915333,7.9854843567338225,2026,1,1,0,3,0,-1
Wildfire,36.4916,-96.15697,6.343880434126331,2026,1,1,0,3,0,-1
Fire,34.822777,-94.194099,8.009695357742922,2026,1,1,0,3,0,4769
Fire,35.7401,-94.3509,7.759614150696903,2026,1,1,0,3,0,4769
Fire,34.584167,-93.668056,6.54965074223381,2026,1,1,0,3,0,4769
Fire,34.6885,-95.6025,7.222566018822171,2026,1,1,0,3,0,4769
Fire,37.598086,-80.063054,7.085064293952548,2026,1,1,0,3,0,-1
Fire,33.169817,-83.674067,7.716906135298388,2026,1,1,0,3,0,4770
Wildfire,35.0336111,-95.2988889,6.398594934535208,2026,1,1,0,3,0,4872
Wildfire,35.6228333,-94.7365,6.569481420414296,2026,1,1,0,3,0,4872
Wildfire,36.1103333,-94.7343333,7.131698510466912,2026,1,1,0,3,0,4872
Wildfire,35.5188889,-96.4380556,7.634820677745543,2026,1,1,0,3,0,4872
Wildfire,34.2797222,-85.4469444,6.2166061010848646,2026,1,1,0,3,0,-1
Fire,37.977383,-80.131283,6.647688373563329,2026,1,1,0,3,0,-1
Fire,37.024717,-91.245283,6.492239835020471,2026,1,1,0,3,0,4769
Wildfire,35.207222,-95.987222,7.614312146452,2026,1,1,0,3,0,4872
Wildfire,35.203333,-95.803611,6.523562306149512,2026,1,1,0,3,0,4872
Fire,32.3396,-89.3958,7.48324441607385,2026,1,1,0,3,0,4769
Wildfire,35.6081667,-94.7688333,6.398594934535208,2026,1,1,0,3,0,4872
Fire,30.671033,-89.0925,6.688354713946762,2026,1,1,0,3,0,4769
Fire,37.99645,-90.96295,7.293017679772782,2026,1,1,0,3,0,4769
Fire,36.059167,-93.163889,6.55250788703459,2026,1,1,0,3,0,4769
Fire,31.529,-88.913,7.378383712996714,2026,1,1,0,3,0,4769
